1.0,-1,R
-1.0,0,R
1.0,-1,R
1.0,-1,R
1.0,1,D
1.0,0,D
-1.0,-1,D
1.0,1,D
1.0,0,D
1.0,0,D
-1.0,0,D
1.0,0,D
0.0,0,D
1.0,-1,D
1.0,0,D
1.0,0,R
1.0,0,R
1.0,1,R
1.0,0,R
1.0,0,D
1.0,0,R
0.0,1,R
1.0,1,R
0.0,1,R
0.0,0,R
1.0,-1,R
1.0,1,R
1.0,0,R
0.0,1,R
0.0,-1,R
1.0,1,R
1.0,1,R
1.0,1,R
1.0,-1,R
-1.0,1,D
1.0,0,D
0.0,1,D
1.0,1,D
1.0,0,D
1.0,0,D
1.0,0,D
0.0,-1,D
0.0,0,D
1.0,0,D
1.0,1,D
1.0,-1,R
1.0,0,R
1.0,1,R
0.0,1,R
0.0,0,R
0.0,-1,R
0.0,0,R
1.0,-1,R
1.0,-1,R
1.0,1,R
1.0,1,R
1.0,0,R
-1.0,0,R
-1.0,0,R
-1.0,-1,R
-1.0,-1,D
-1.0,-1,D
1.0,1,D
1.0,1,R
1.0,0,R
1.0,1,D
1.0,0,D
1.0,0,D
0.0,0,D
1.0,0,D
0.0,1,D
0.0,1,D
1.0,0,D
1.0,-1,D
-1.0,0,R
-1.0,-1,D
-1.0,-1,D
-1.0,-1,D
1.0,-1,R
1.0,0,D
1.0,-1,R
1.0,1,R
1.0,-1,R
1.0,0,R
1.0,0,R
1.0,-1,R
1.0,1,R
1.0,0,R
1.0,0,R
1.0,0,R
1.0,0,R
1.0,0,R
1.0,0,R
1.0,0,R
0.0,0,R
1.0,0,R
1.0,-1,R
1.0,-1,R
1.0,0,R
1.0,0,R
0.0,1,R
1.0,1,R
1.0,0,R
1.0,0,R
1.0,-1,R
1.0,-1,R
1.0,0,R
1.0,0,R
1.0,-1,R
1.0,1,R
1.0,1,R
0.0,0,R
1.0,-1,R
-1.0,-1,D
1.0,-1,R
1.0,1,R
1.0,-1,R
-1.0,0,D
1.0,0,R
1.0,1,R
1.0,-1,R
1.0,0,R
1.0,0,R
0.0,-1,R
1.0,-1,R
1.0,-1,R
1.0,0,R
1.0,0,R
1.0,1,D
1.0,-1,R
1.0,-1,R
1.0,-1,R
1.0,-1,R
1.0,-1,R
1.0,-1,R
-1.0,0,D
-1.0,0,D
-1.0,-1,D
-1.0,1,R
1.0,1,R
1.0,0,D
1.0,1,R
0.0,1,R
0.0,-1,R
1.0,-1,R
1.0,0,D
1.0,0,R
1.0,1,R
1.0,1,R
1.0,-1,R
1.0,-1,R
1.0,-1,R
0.0,0,R
0.0,0,R
1.0,-1,R
0.0,1,R
1.0,-1,R
1.0,-1,R
0.0,1,R
1.0,-1,R
1.0,-1,R
1.0,-1,R
0.0,1,R
0.0,1,R
0.0,1,R
1.0,-1,R
0.0,-1,R
-1.0,-1,R
-1.0,-1,R
1.0,-1,R
1.0,-1,R
1.0,-1,R
0.0,-1,R
0.0,-1,R
0.0,-1,R
0.0,-1,R
0.0,-1,R
1.0,-1,R
1.0,-1,R
